dataset,feature,category,reason
NSL-KDD,duration,time,heuristic
NSL-KDD,protocol_type,flow,heuristic
NSL-KDD,service,flow,heuristic
NSL-KDD,flag,conn/flags,heuristic
NSL-KDD,src_bytes,flow,heuristic
NSL-KDD,dst_bytes,flow,heuristic
NSL-KDD,land,flow,heuristic
NSL-KDD,wrong_fragment,flow,heuristic
NSL-KDD,urgent,flow,heuristic
NSL-KDD,hot,content,heuristic
NSL-KDD,num_failed_logins,content,heuristic
NSL-KDD,logged_in,content,heuristic
NSL-KDD,num_compromised,content,heuristic
NSL-KDD,root_shell,content,heuristic
NSL-KDD,su_attempted,content,heuristic
NSL-KDD,num_root,content,heuristic
NSL-KDD,num_file_creations,content,heuristic
NSL-KDD,num_shells,content,heuristic
NSL-KDD,num_access_files,content,heuristic
NSL-KDD,num_outbound_cmds,content,heuristic
NSL-KDD,is_host_login,content,heuristic
NSL-KDD,is_guest_login,content,heuristic
NSL-KDD,count,flow,heuristic
NSL-KDD,srv_count,flow,heuristic
NSL-KDD,serror_rate,statistical,heuristic
NSL-KDD,srv_serror_rate,statistical,heuristic
NSL-KDD,rerror_rate,statistical,heuristic
NSL-KDD,srv_rerror_rate,statistical,heuristic
NSL-KDD,same_srv_rate,statistical,heuristic
NSL-KDD,diff_srv_rate,statistical,heuristic
NSL-KDD,srv_diff_host_rate,statistical,heuristic
NSL-KDD,dst_host_count,flow,heuristic
NSL-KDD,dst_host_srv_count,flow,heuristic
NSL-KDD,dst_host_same_srv_rate,statistical,heuristic
NSL-KDD,dst_host_diff_srv_rate,statistical,heuristic
NSL-KDD,dst_host_same_src_port_rate,statistical,heuristic
NSL-KDD,dst_host_srv_diff_host_rate,statistical,heuristic
NSL-KDD,dst_host_serror_rate,statistical,heuristic
NSL-KDD,dst_host_srv_serror_rate,statistical,heuristic
NSL-KDD,dst_host_rerror_rate,statistical,heuristic
NSL-KDD,dst_host_srv_rerror_rate,statistical,heuristic
NSL-KDD,attack,ignored,excluded
NSL-KDD,level,ignored,excluded
UNSW-NB15,id,ignored,excluded
UNSW-NB15,dur,time,heuristic
UNSW-NB15,proto,flow,heuristic
UNSW-NB15,service,flow,heuristic
UNSW-NB15,state,conn/flags,heuristic
UNSW-NB15,spkts,flow,heuristic
UNSW-NB15,dpkts,flow,heuristic
UNSW-NB15,sbytes,flow,heuristic
UNSW-NB15,dbytes,flow,heuristic
UNSW-NB15,rate,statistical,heuristic
UNSW-NB15,sttl,flow,heuristic
UNSW-NB15,dttl,flow,heuristic
UNSW-NB15,sload,flow,heuristic
UNSW-NB15,dload,flow,heuristic
