protocol,count,p_i,q_i_proj,abs_diff
DNS,191560.0,0.3449803521839511,0.0,0.3449803521839511
HTTPS,187508.0,0.3376831064799974,0.0,0.3376831064799974
Others,118987.0,0.21428365611459485,0.0,0.21428365611459485
HTTP,33209.0,0.05980607911712692,0.0,0.05980607911712692
SNMP,14219.0,0.02560699325382961,0.0,0.02560699325382961
UDP,6252.0,0.01125922510886439,0.0,0.01125922510886439
SMB,1395.0,0.0025122551226592804,0.0,0.0025122551226592804
SMTPS,527.0,0.0009490741574490615,0.0,0.0009490741574490615
NTP,499.0,0.0008986489650229254,0.0,0.0008986489650229254
Telnet,491.0,0.0008842417671868865,0.0,0.0008842417671868865
SSH,142.0,0.0002557277615896902,0.0,0.0002557277615896902
Redis,132.0,0.0002377187642946416,0.0,0.0002377187642946416
SIP,122.0,0.000219709766999593,0.0,0.000219709766999593
RDP,61.0,0.0001098548834997965,0.0,0.0001098548834997965
TCP,40.0,7.203598918019443e-05,0.0,7.203598918019443e-05
RTSP,36.0,6.483239026217499e-05,0.0,6.483239026217499e-05
VNC,22.0,3.961979404910693e-05,0.0,3.961979404910693e-05
PostgreSQL,17.0,3.061529540158263e-05,0.0,3.061529540158263e-05
MySQL,12.0,2.1610796754058327e-05,0.0,2.1610796754058327e-05
SMTP,11.0,1.9809897024553466e-05,0.0,1.9809897024553466e-05
FTP,9.0,1.6208097565543746e-05,0.0,1.6208097565543746e-05
POP3S,7.0,1.2606298106534025e-05,0.0,1.2606298106534025e-05
RSYNC,6.0,1.0805398377029164e-05,0.0,1.0805398377029164e-05
POP3,5.0,9.004498647524304e-06,0.0,9.004498647524304e-06
IMAPS,3.0,5.402699188514582e-06,0.0,5.402699188514582e-06
Bitcoin,3.0,5.402699188514582e-06,0.0,5.402699188514582e-06
OSPF,1.0,1.8008997295048606e-06,0.0,1.8008997295048606e-06
IMAP,1.0,1.8008997295048606e-06,0.0,1.8008997295048606e-06
SFTP,1.0,1.8008997295048606e-06,0.0,1.8008997295048606e-06
