protocol,count,p_i,q_i_proj,abs_diff
tcp,123041.0,0.4775083148020941,0.8991008991008992,0.4215925842988051
udp,92701.0,0.3597621791961129,0.0899100899100899,0.269852089286023
unas,15599.0,0.06053796866571197,0.0,0.06053796866571197
arp,3846.0,0.014925894447613837,0.0009990009990009992,0.013926893448612837
ospf,3271.0,0.012694383967276355,0.0,0.012694383967276355
sctp,1474.0,0.005720428605247736,0.0,0.005720428605247736
any,396.0,0.0015368315655889442,0.0,0.0015368315655889442
gre,313.0,0.0012147178788619684,0.0,0.0012147178788619684
rsvp,264.0,0.0010245543770592961,0.0,0.0010245543770592961
ipv6,262.0,0.0010167926014755136,0.0,0.0010167926014755136
sun-nd,255.0,0.0009896263869322746,0.0,0.0009896263869322746
mobile,253.0,0.000981864611348492,0.0,0.000981864611348492
swipe,253.0,0.000981864611348492,0.0,0.000981864611348492
pim,253.0,0.000981864611348492,0.0,0.000981864611348492
sep,251.0,0.0009741028357647095,0.0,0.0009741028357647095
prm,133.0,0.0005161580763215393,0.0,0.0005161580763215393
xns-idp,133.0,0.0005161580763215393,0.0,0.0005161580763215393
leaf-1,133.0,0.0005161580763215393,0.0,0.0005161580763215393
kryptolan,132.0,0.0005122771885296481,0.0,0.0005122771885296481
iso-ip,132.0,0.0005122771885296481,0.0,0.0005122771885296481
xtp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
il,132.0,0.0005122771885296481,0.0,0.0005122771885296481
wb-expak,132.0,0.0005122771885296481,0.0,0.0005122771885296481
mfe-nsp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
3pc,132.0,0.0005122771885296481,0.0,0.0005122771885296481
ipv6-route,132.0,0.0005122771885296481,0.0,0.0005122771885296481
idrp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
bna,132.0,0.0005122771885296481,0.0,0.0005122771885296481
pvp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
cftp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
gmtp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
wsn,132.0,0.0005122771885296481,0.0,0.0005122771885296481
wb-mon,132.0,0.0005122771885296481,0.0,0.0005122771885296481
vmtp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
ib,132.0,0.0005122771885296481,0.0,0.0005122771885296481
dgp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
eigrp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
ax.25,132.0,0.0005122771885296481,0.0,0.0005122771885296481
cphb,132.0,0.0005122771885296481,0.0,0.0005122771885296481
pnni,132.0,0.0005122771885296481,0.0,0.0005122771885296481
pgm,132.0,0.0005122771885296481,0.0,0.0005122771885296481
idpr-cmtp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
mtp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
scps,132.0,0.0005122771885296481,0.0,0.0005122771885296481
rvd,132.0,0.0005122771885296481,0.0,0.0005122771885296481
fc,132.0,0.0005122771885296481,0.0,0.0005122771885296481
ipcv,132.0,0.0005122771885296481,0.0,0.0005122771885296481
snp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
cbt,132.0,0.0005122771885296481,0.0,0.0005122771885296481
sat-expak,132.0,0.0005122771885296481,0.0,0.0005122771885296481
ipv6-no,132.0,0.0005122771885296481,0.0,0.0005122771885296481
ipcomp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
pipe,132.0,0.0005122771885296481,0.0,0.0005122771885296481
