service,ref_share,test_share
dns,0.6807592082798958,0.436478167893036
https,0.1698661133666076,0.42706803218393946
http,0.07231838715211122,0.07572289746550338
snmp,0.0,0.03238207155073662
netbios_ns,0.0,0.014226795202015027
smb,0.0,0.0032680408379848827
netbios_dgm,0.0,0.0030562444631189634
dhcp,0.005342395255560911,0.002880886174251482
smtp,0.0,0.0012275080220723706
ntp,0.07118700834034489,0.0011364128070762763
telnet,0.0,0.0011181937640770574
ssh,0.0,0.00032338801323613476
sip,0.0,0.0002778404057380876
mssql,0.0,0.0002732856449882829
rdp,0.0,0.0001389202028690438
rtsp,0.0,8.198569349648487e-05
ldap,0.0,7.287617199687544e-05
mongodb,0.0,5.921188974746129e-05
ssdp,0.0,4.3270227123144786e-05
mysql,0.0,2.7328564498828287e-05
pop3,0.0,2.7328564498828287e-05
isakmp,0.0,1.821904299921886e-05
ftp,0.0,1.821904299921886e-05
ws-discovery,0.0,1.3664282249414143e-05
oracle,0.0,1.1386901874511786e-05
mqtt,0.0,1.1386901874511786e-05
tftp,0.0,9.10952149960943e-06
imap,0.0,9.10952149960943e-06
rip,0.0,6.832141124707072e-06
dce_rpc,0.0,4.554760749804715e-06
ipsec-natt,0.0,2.2773803749023575e-06
ftp-data,0.0,2.2773803749023575e-06
mqtts,0.0,2.2773803749023575e-06
