service,ref_share,test_share
dns,0.9873949579831933,0.31521129330183933
http,0.0,0.28737848057352267
https,0.0,0.1550561081225164
rdp,0.0,0.14031828743926944
smb,0.0,0.05472121882362765
ftp,0.0,0.02552658258840211
ssh,0.0,0.015113641151324284
netbios_ns,0.0,0.001753624947077367
dce_rpc,0.0,0.001128149580063638
dhcp,0.0,0.0010354752347310414
ntp,0.0,0.0009733864819174537
telnet,0.0,0.0005698860526104306
isakmp,0.0,0.0003976127027471138
netbios_dgm,0.0,0.0003797201311234937
mongodb,0.0,0.0001628682801637216
ssdp,0.0,0.0001090376373302662
mssql,0.0,3.601453519113281e-05
smtp,0.0,2.469786595909957e-05
mysql,0.0,1.949831523086808e-05
pop3,0.0,1.5063404315611811e-05
imap,0.0,1.4604620427826681e-05
snmp,0.0,1.04755654377605e-05
sip,0.0,9.022749793107582e-06
ldap,0.0,7.417006185859623e-06
oracle,0.0,7.264078223264579e-06
ftp-data,0.0,7.034686279372014e-06
rtsp,0.0,7.034686279372014e-06
ws-discovery,0.0,3.8996630461736165e-06
ipsec-natt,0.0,9.175677755702626e-07
mqtt,0.0,8.411037942727408e-07
mqtts,0.0,7.646398129752188e-07
rip,0.0,7.646398129752188e-08
