service,ref_share,test_share
http,0.0,0.32448574218092446
private,0.0,0.17928155405177928
domain_u,0.0,0.0669090664242669
smtp,0.0,0.05552974447025553
ftp_data,0.0,0.05191394808605192
other,0.0,0.03499309834023499
eco_i,0.0,0.03264316735683264
telnet,0.0,0.026791906541426793
ecr_i,0.0,0.025781907551425783
ftp,0.0,0.01646971686361647
finger,0.0,0.012813520519812813
pop_3,0.0,0.008638858027808638
auth,0.0,0.006881459785206882
imap4,0.0,0.006416860249806417
z39_50,0.0,0.006107127226206107
uucp,0.0,0.005588661078005589
courier,0.0,0.005211594788405212
bgp,0.0,0.005090394909605091
uucp_path,0.0,0.004948995051004949
iso_tsap,0.0,0.004948995051004949
whois,0.0,0.0049355283978049355
time,0.0,0.004645995354004646
nnsp,0.0,0.004524795475204525
vmnet,0.0,0.004443995556004444
urp_i,0.0,0.004208329125004209
domain,0.0,0.004174662492004174
ctf,0.0,0.004066929266404067
csnet_ns,0.0,0.0038985961014038986
supdup,0.0,0.0038447294886038447
http_443,0.0,0.003811062855603811
discard,0.0,0.0037975962024037976
gopher,0.0,0.0037167962832037166
daytime,0.0,0.0036965963034036966
sunrpc,0.0,0.003635996364003636
efs,0.0,0.003487863178803488
link,0.0,0.003474396525603474
systat,0.0,0.0034272632394034275
exec,0.0,0.003373396626603373
name,0.0,0.003285863380803286
hostnames,0.0,0.003252196747803252
echo,0.0,0.0031713968286031713
mtp,0.0,0.0031713968286031713
login,0.0,0.003083863582803084
klogin,0.0,0.003056930276403057
netbios_dgm,0.0,0.0028953304380028955
ldap,0.0,0.0028885971114028888
netstat,0.0,0.002599064067602599
netbios_ns,0.0,0.0025788640878025787
netbios_ssn,0.0,0.0025384641282025383
ssh,0.0,0.002269131064202269
kshell,0.0,0.002174864491802175
nntp,0.0,0.0021344645322021343
sql_net,0.0,0.001770864895801771
irc,0.0,0.0013466653200013467
ntp_u,0.0,0.0011985321348011986
rje,0.0,0.0006329327004006329
remote_job,0.0,0.0006194660472006194
pop_2,0.0,0.0006127327206006128
x11,0.0,0.0005925327408005925
shell,0.0,0.0005453994546005454
printer,0.0,0.0005386661280005387
pm_dump,0.0,0.0001413998586001414
tim_i,0.0,9.426657240009426e-05
urh_i,0.0,6.733326600006734e-05
red_i,0.0,5.386661280005387e-05
tftp_u,0.0,2.6933306400026934e-05
http_8001,0.0,1.3466653200013467e-05
harvest,0.0,1.3466653200013467e-05
aol,0.0,1.3466653200013467e-05
http_2784,0.0,6.733326600006733e-06
dns,0.9873949579831933,0.0
