service,ref_share,test_share
http,0.13338325365282339,0.9977692674290989
mysql,0.0,0.0012879060512599452
smtp,0.0,0.00015578833223564911
dns,0.00284545821093255,0.00012061032173082513
pop3,0.0,0.00010553403151447198
imap,0.0,0.0001044172692762236
ftp,0.0,5.695487415066742e-05
smb,0.0,4.439129897037313e-05
https,0.0004876831211719755,3.657396330263447e-05
dce_rpc,0.0,3.126934267095466e-05
ssh,0.2671044294683486,2.959419931358209e-05
ldap,0.0,2.149767308628133e-05
isakmp,0.0,2.1218482526719233e-05
telnet,0.36695658852216656,1.982252972890876e-05
rdp,0.0,1.8426576931098282e-05
snmp,0.0,1.8147386371536186e-05
ssdp,0.0,1.7030624133287805e-05
sip,0.0,1.7030624133287805e-05
ftp-data,0.0,1.6751433573725712e-05
mssql,0.0,1.5913861895039427e-05
rtsp,0.0,1.451790909722895e-05
oracle,0.0,1.2842765739856379e-05
dhcp,0.0006604842270990535,1.1726003501607998e-05
ntp,0.055131232839890174,1.1167622382483807e-05
rip,0.0,8.09652622730076e-06
netbios_dgm,0.0,7.53814510817657e-06
tftp,0.0,6.700573429490285e-06
netbios_ns,0.0,6.142192310366094e-06
ipsec-natt,0.0,5.5838111912419036e-06
ws-discovery,0.0,3.908667833869333e-06
dot,0.0,1.9543339169346664e-06
mqtts,0.0,1.6751433573725712e-06
