dataset,technique_id,name,tactics,q,confidence,evidence_count,evidence_types
ToN-IoT,T1190,Exploit Public-Facing Application,initial-access,0.5,1.0,40000,label_map
ToN-IoT,T1110.001,Password Guessing,credential-access,0.5,1.0,20000,label_map
ToN-IoT,T1498.001,Direct Network Flood,impact,0.5,1.0,20000,label_map
ToN-IoT,T1547,Boot or Logon Autostart Execution,"persistence, privilege-escalation",0.5,1.0,20000,label_map
ToN-IoT,T1486,Data Encrypted for Impact,impact,0.5,1.0,20000,label_map
ToN-IoT,T1499,Endpoint Denial of Service,impact,0.5,1.0,20000,label_map
ToN-IoT,T1595.001,Scanning IP Blocks,reconnaissance,0.5,1.0,20000,label_map
ToN-IoT,T1046,Network Service Discovery,discovery,0.5,1.0,20000,label_map
ToN-IoT,T1105,Ingress Tool Transfer,command-and-control,0.5,1.0,20000,label_map
ToN-IoT,T1557,Adversary-in-the-Middle,"collection, credential-access",0.5,1.0,1043,label_map
