dataset,technique_id,name,tactics,q,confidence,evidence_count,evidence_types
NSL-KDD,T1498.001,Direct Network Flood,impact,0.5,1.0,50352,label_map
NSL-KDD,T1046,Network Service Discovery,discovery,0.5,1.0,14255,label_map
NSL-KDD,T1595.001,Scanning IP Blocks,reconnaissance,0.5,1.0,8713,label_map
NSL-KDD,T1595.002,Vulnerability Scanning,reconnaissance,0.5,1.0,5364,label_map
NSL-KDD,T1105,Ingress Tool Transfer,command-and-control,0.5,1.0,1865,label_map
NSL-KDD,T1110.001,Password Guessing,credential-access,0.5,1.0,1636,label_map
NSL-KDD,T1499.002,Service Exhaustion Flood,impact,0.5,1.0,1608,label_map
NSL-KDD,T1499.001,OS Exhaustion Flood,impact,0.5,1.0,685,label_map
NSL-KDD,T1572,Protocol Tunneling,command-and-control,0.5,1.0,133,label_map
NSL-KDD,T1068,Exploitation for Privilege Escalation,privilege-escalation,0.5,1.0,64,label_map
UNSW-NB15,T1498.001,Direct Network Flood,impact,0.5,1.0,75224,label_map
UNSW-NB15,T1190,Exploit Public-Facing Application,initial-access,0.5,1.0,44525,label_map
UNSW-NB15,T1046,Network Service Discovery,discovery,0.5,1.0,40910,label_map
UNSW-NB15,T1595.002,Vulnerability Scanning,reconnaissance,0.5,1.0,26923,label_map
UNSW-NB15,T1595.001,Scanning IP Blocks,reconnaissance,0.5,1.0,13987,label_map
UNSW-NB15,T1547,Boot or Logon Autostart Execution,"persistence, privilege-escalation",0.5,1.0,2329,label_map
UNSW-NB15,T1203,Exploitation for Client Execution,execution,0.5,1.0,1511,label_map
UNSW-NB15,T1210,Exploitation of Remote Services,lateral-movement,0.5,1.0,174,label_map
CIC-IDS2017,T1499.003,Application Exhaustion Flood,impact,0.5,1.0,241366,label_map
CIC-IDS2017,T1595.001,Scanning IP Blocks,reconnaissance,0.5,1.0,158930,label_map
CIC-IDS2017,T1046,Network Service Discovery,discovery,0.5,1.0,158930,label_map
CIC-IDS2017,T1498.001,Direct Network Flood,impact,0.5,1.0,128027,label_map
CIC-IDS2017,T1110.001,Password Guessing,credential-access,0.5,1.0,13835,label_map
CIC-IDS2017,T1499.002,Service Exhaustion Flood,impact,0.5,1.0,5796,label_map
CIC-IDS2017,T1499.001,OS Exhaustion Flood,impact,0.5,1.0,5499,label_map
CIC-IDS2017,T1071.001,Web Protocols,command-and-control,0.5,1.0,1966,label_map
CIC-IDS2017,T1190,Exploit Public-Facing Application,initial-access,0.5,1.0,47,label_map
CSE-CIC-IDS2018,T1499.003,Application Exhaustion Flood,impact,0.5,1.0,1189432,label_map
CSE-CIC-IDS2018,T1110.001,Password Guessing,credential-access,0.5,1.0,381560,label_map
CSE-CIC-IDS2018,T1071.001,Web Protocols,command-and-control,0.5,1.0,286191,label_map
CSE-CIC-IDS2018,T1190,Exploit Public-Facing Application,initial-access,0.5,1.0,162251,label_map
CSE-CIC-IDS2018,T1499.002,Service Exhaustion Flood,impact,0.5,1.0,150880,label_map
CSE-CIC-IDS2018,T1498.001,Direct Network Flood,impact,0.5,1.0,1730,label_map
ToN-IoT,T1190,Exploit Public-Facing Application,initial-access,0.5,1.0,40000,label_map
ToN-IoT,T1110.001,Password Guessing,credential-access,0.5,1.0,20000,label_map
ToN-IoT,T1498.001,Direct Network Flood,impact,0.5,1.0,20000,label_map
ToN-IoT,T1547,Boot or Logon Autostart Execution,"persistence, privilege-escalation",0.5,1.0,20000,label_map
ToN-IoT,T1486,Data Encrypted for Impact,impact,0.5,1.0,20000,label_map
ToN-IoT,T1499,Endpoint Denial of Service,impact,0.5,1.0,20000,label_map
ToN-IoT,T1595.001,Scanning IP Blocks,reconnaissance,0.5,1.0,20000,label_map
ToN-IoT,T1046,Network Service Discovery,discovery,0.5,1.0,20000,label_map
ToN-IoT,T1105,Ingress Tool Transfer,command-and-control,0.5,1.0,20000,label_map
ToN-IoT,T1557,Adversary-in-the-Middle,"collection, credential-access",0.5,1.0,1043,label_map
BoT-IoT,T1498.001,Direct Network Flood,impact,0.5,1.0,3576884,label_map
BoT-IoT,T1595.001,Scanning IP Blocks,reconnaissance,0.5,1.0,91082,label_map
BoT-IoT,T1046,Network Service Discovery,discovery,0.5,1.0,91082,label_map
BoT-IoT,T1041,Exfiltration Over C2 Channel,exfiltration,0.5,1.0,79,label_map
UNR-IDD,T1498.001,Direct Network Flood,impact,0.5,1.0,23116,label_map
UNR-IDD,T1595.001,Scanning IP Blocks,reconnaissance,0.5,1.0,9500,label_map
UNR-IDD,T1046,Network Service Discovery,discovery,0.5,1.0,9500,label_map
UNR-IDD,T1499,Endpoint Denial of Service,impact,0.5,1.0,1022,label_map
HIKARI-2021,T1595,Active Scanning,reconnaissance,0.5,1.0,23388,label_map
HIKARI-2021,T1046,Network Service Discovery,discovery,0.5,1.0,23388,label_map
HIKARI-2021,T1110.001,Password Guessing,credential-access,0.5,1.0,11029,label_map
HIKARI-2021,T1496,Resource Hijacking,impact,0.5,1.0,3279,label_map
