dataset,purpose,category,n_c,N_c_ref,coverage,weight_norm,contribution
NSL-KDD,general-enterprise-nids,flow,11,12,0.9167,0.2143,0.1964
NSL-KDD,general-enterprise-nids,content,13,12,1.0,0.2143,0.2143
NSL-KDD,general-enterprise-nids,time,1,6,0.1667,0.1429,0.0238
NSL-KDD,general-enterprise-nids,conn/flags,1,8,0.125,0.1429,0.0179
NSL-KDD,general-enterprise-nids,statistical,15,10,1.0,0.1429,0.1429
NSL-KDD,general-enterprise-nids,telemetry,0,8,0.0,0.1429,0.0
UNSW-NB15,general-enterprise-nids,flow,35,12,1.0,0.2143,0.2143
UNSW-NB15,general-enterprise-nids,content,0,12,0.0,0.2143,0.0
UNSW-NB15,general-enterprise-nids,time,1,6,0.1667,0.1429,0.0238
UNSW-NB15,general-enterprise-nids,conn/flags,2,8,0.25,0.1429,0.0357
UNSW-NB15,general-enterprise-nids,statistical,3,10,0.3,0.1429,0.0429
UNSW-NB15,general-enterprise-nids,telemetry,1,8,0.125,0.1429,0.0179
CICIDS2017,general-enterprise-nids,flow,23,12,1.0,0.2143,0.2143
CICIDS2017,general-enterprise-nids,content,0,12,0.0,0.2143,0.0
CICIDS2017,general-enterprise-nids,time,23,6,1.0,0.1429,0.1429
CICIDS2017,general-enterprise-nids,conn/flags,10,8,1.0,0.1429,0.1429
CICIDS2017,general-enterprise-nids,statistical,22,10,1.0,0.1429,0.1429
CICIDS2017,general-enterprise-nids,telemetry,0,8,0.0,0.1429,0.0
CSE-CIC-IDS2018,general-enterprise-nids,flow,21,12,1.0,0.2143,0.2143
CSE-CIC-IDS2018,general-enterprise-nids,content,0,12,0.0,0.2143,0.0
CSE-CIC-IDS2018,general-enterprise-nids,time,23,6,1.0,0.1429,0.1429
CSE-CIC-IDS2018,general-enterprise-nids,conn/flags,10,8,1.0,0.1429,0.1429
CSE-CIC-IDS2018,general-enterprise-nids,statistical,23,10,1.0,0.1429,0.1429
CSE-CIC-IDS2018,general-enterprise-nids,telemetry,0,8,0.0,0.1429,0.0
ToN_IoT,iot-iiot,flow,13,12,1.0,0.2143,0.2143
ToN_IoT,iot-iiot,time,1,6,0.1667,0.2143,0.0357
ToN_IoT,iot-iiot,statistical,0,10,0.0,0.1429,0.0
ToN_IoT,iot-iiot,telemetry,28,8,1.0,0.2857,0.2857
ToN_IoT,iot-iiot,conn/flags,1,8,0.125,0.1429,0.0179
BoT_IoT,iot-iiot,flow,27,12,1.0,0.2143,0.2143
BoT_IoT,iot-iiot,time,3,6,0.5,0.2143,0.1071
BoT_IoT,iot-iiot,statistical,8,10,0.8,0.1429,0.1143
BoT_IoT,iot-iiot,telemetry,0,8,0.0,0.2857,0.0
BoT_IoT,iot-iiot,conn/flags,4,8,0.5,0.1429,0.0714
HIKARI-2021,encrypted-flow-only,flow,39,12,1.0,0.2857,0.2857
HIKARI-2021,encrypted-flow-only,time,26,6,1.0,0.2143,0.2143
HIKARI-2021,encrypted-flow-only,conn/flags,0,8,0.0,0.1429,0.0
HIKARI-2021,encrypted-flow-only,statistical,18,10,1.0,0.2143,0.2143
HIKARI-2021,encrypted-flow-only,telemetry,0,8,0.0,0.1429,0.0
UNR-IDD,sdn-telemetry,flow,18,12,1.0,0.25,0.25
UNR-IDD,sdn-telemetry,time,3,6,0.5,0.1667,0.0833
UNR-IDD,sdn-telemetry,statistical,3,10,0.3,0.1667,0.05
UNR-IDD,sdn-telemetry,telemetry,6,8,0.75,0.3333,0.25
UNR-IDD,sdn-telemetry,conn/flags,0,8,0.0,0.0833,0.0
