dataset,feature,category,reason
BoT_IoT,pkSeqID,ignored,excluded
BoT_IoT,stime,time,heuristic
BoT_IoT,flgs,conn/flags,heuristic
BoT_IoT,flgs_number,conn/flags,override
BoT_IoT,proto,flow,heuristic
BoT_IoT,proto_number,flow,heuristic
BoT_IoT,saddr,flow,heuristic
BoT_IoT,sport,flow,heuristic
BoT_IoT,daddr,flow,heuristic
BoT_IoT,dport,flow,heuristic
BoT_IoT,pkts,flow,heuristic
BoT_IoT,bytes,flow,heuristic
BoT_IoT,state,conn/flags,heuristic
BoT_IoT,state_number,conn/flags,heuristic
BoT_IoT,ltime,time,heuristic
BoT_IoT,seq,flow,heuristic
BoT_IoT,dur,time,heuristic
BoT_IoT,mean,statistical,heuristic
BoT_IoT,stddev,statistical,heuristic
BoT_IoT,sum,statistical,override
BoT_IoT,min,statistical,heuristic
BoT_IoT,max,statistical,heuristic
BoT_IoT,spkts,flow,heuristic
BoT_IoT,dpkts,flow,heuristic
BoT_IoT,sbytes,flow,heuristic
BoT_IoT,dbytes,flow,heuristic
BoT_IoT,rate,statistical,heuristic
BoT_IoT,srate,statistical,heuristic
BoT_IoT,drate,statistical,heuristic
BoT_IoT,TnBPSrcIP,flow,heuristic
BoT_IoT,TnBPDstIP,flow,heuristic
BoT_IoT,TnP_PSrcIP,flow,heuristic
BoT_IoT,TnP_PDstIP,flow,heuristic
BoT_IoT,TnP_PerProto,flow,heuristic
BoT_IoT,TnP_Per_Dport,flow,heuristic
BoT_IoT,AR_P_Proto_P_SrcIP,flow,heuristic
BoT_IoT,AR_P_Proto_P_DstIP,flow,heuristic
BoT_IoT,N_IN_Conn_P_DstIP,flow,heuristic
BoT_IoT,N_IN_Conn_P_SrcIP,flow,heuristic
BoT_IoT,AR_P_Proto_P_Sport,flow,heuristic
BoT_IoT,AR_P_Proto_P_Dport,flow,heuristic
BoT_IoT,Pkts_P_State_P_Protocol_P_DestIP,flow,heuristic
BoT_IoT,Pkts_P_State_P_Protocol_P_SrcIP,flow,heuristic
BoT_IoT,attack,ignored,excluded
BoT_IoT,category,ignored,excluded
BoT_IoT,subcategory,ignored,excluded
