dataset,feature,category,reason
HIKARI-2021,Unnamed: 0.1,ignored,excluded
HIKARI-2021,Unnamed: 0,ignored,excluded
HIKARI-2021,uid,ignored,excluded
HIKARI-2021,originh,flow,heuristic
HIKARI-2021,originp,flow,heuristic
HIKARI-2021,responh,flow,heuristic
HIKARI-2021,responp,flow,heuristic
HIKARI-2021,flow_duration,time,heuristic
HIKARI-2021,fwd_pkts_tot,flow,heuristic
HIKARI-2021,bwd_pkts_tot,flow,heuristic
HIKARI-2021,fwd_data_pkts_tot,flow,heuristic
HIKARI-2021,bwd_data_pkts_tot,flow,heuristic
HIKARI-2021,fwd_pkts_per_sec,flow,heuristic
HIKARI-2021,bwd_pkts_per_sec,flow,heuristic
HIKARI-2021,flow_pkts_per_sec,flow,heuristic
HIKARI-2021,down_up_ratio,flow,heuristic
HIKARI-2021,fwd_header_size_tot,flow,heuristic
HIKARI-2021,fwd_header_size_min,statistical,heuristic
HIKARI-2021,fwd_header_size_max,statistical,heuristic
HIKARI-2021,bwd_header_size_tot,flow,heuristic
HIKARI-2021,bwd_header_size_min,statistical,heuristic
HIKARI-2021,bwd_header_size_max,statistical,heuristic
HIKARI-2021,flow_FIN_flag_count,flow,heuristic
HIKARI-2021,flow_SYN_flag_count,flow,heuristic
HIKARI-2021,flow_RST_flag_count,flow,heuristic
HIKARI-2021,fwd_PSH_flag_count,flow,heuristic
HIKARI-2021,bwd_PSH_flag_count,flow,heuristic
HIKARI-2021,flow_ACK_flag_count,flow,heuristic
HIKARI-2021,fwd_URG_flag_count,flow,heuristic
HIKARI-2021,bwd_URG_flag_count,flow,heuristic
HIKARI-2021,flow_CWR_flag_count,flow,heuristic
HIKARI-2021,flow_ECE_flag_count,flow,heuristic
HIKARI-2021,fwd_pkts_payload.min,statistical,heuristic
HIKARI-2021,fwd_pkts_payload.max,statistical,heuristic
HIKARI-2021,fwd_pkts_payload.tot,flow,heuristic
HIKARI-2021,fwd_pkts_payload.avg,statistical,heuristic
HIKARI-2021,fwd_pkts_payload.std,statistical,heuristic
HIKARI-2021,bwd_pkts_payload.min,statistical,heuristic
HIKARI-2021,bwd_pkts_payload.max,statistical,heuristic
HIKARI-2021,bwd_pkts_payload.tot,flow,heuristic
HIKARI-2021,bwd_pkts_payload.avg,statistical,heuristic
HIKARI-2021,bwd_pkts_payload.std,statistical,heuristic
HIKARI-2021,flow_pkts_payload.min,statistical,heuristic
HIKARI-2021,flow_pkts_payload.max,statistical,heuristic
HIKARI-2021,flow_pkts_payload.tot,flow,heuristic
HIKARI-2021,flow_pkts_payload.avg,statistical,heuristic
HIKARI-2021,flow_pkts_payload.std,statistical,heuristic
HIKARI-2021,fwd_iat.min,time,heuristic
HIKARI-2021,fwd_iat.max,time,heuristic
HIKARI-2021,fwd_iat.tot,time,heuristic
HIKARI-2021,fwd_iat.avg,time,heuristic
HIKARI-2021,fwd_iat.std,time,heuristic
HIKARI-2021,bwd_iat.min,time,heuristic
HIKARI-2021,bwd_iat.max,time,heuristic
HIKARI-2021,bwd_iat.tot,time,heuristic
HIKARI-2021,bwd_iat.avg,time,heuristic
HIKARI-2021,bwd_iat.std,time,heuristic
HIKARI-2021,flow_iat.min,time,heuristic
HIKARI-2021,flow_iat.max,time,heuristic
HIKARI-2021,flow_iat.tot,time,heuristic
HIKARI-2021,flow_iat.avg,time,heuristic
HIKARI-2021,flow_iat.std,time,heuristic
HIKARI-2021,payload_bytes_per_second,flow,heuristic
HIKARI-2021,fwd_subflow_pkts,flow,heuristic
HIKARI-2021,bwd_subflow_pkts,flow,heuristic
HIKARI-2021,fwd_subflow_bytes,flow,heuristic
HIKARI-2021,bwd_subflow_bytes,flow,heuristic
HIKARI-2021,fwd_bulk_bytes,flow,heuristic
HIKARI-2021,bwd_bulk_bytes,flow,heuristic
HIKARI-2021,fwd_bulk_packets,flow,heuristic
HIKARI-2021,bwd_bulk_packets,flow,heuristic
HIKARI-2021,fwd_bulk_rate,statistical,heuristic
HIKARI-2021,bwd_bulk_rate,statistical,heuristic
HIKARI-2021,active.min,time,heuristic
HIKARI-2021,active.max,time,heuristic
HIKARI-2021,active.tot,time,heuristic
HIKARI-2021,active.avg,time,heuristic
HIKARI-2021,active.std,time,heuristic
HIKARI-2021,idle.min,time,heuristic
HIKARI-2021,idle.max,time,heuristic
HIKARI-2021,idle.tot,time,heuristic
HIKARI-2021,idle.avg,time,heuristic
HIKARI-2021,idle.std,time,heuristic
HIKARI-2021,fwd_init_window_size,flow,heuristic
HIKARI-2021,bwd_init_window_size,flow,heuristic
HIKARI-2021,fwd_last_window_size,flow,heuristic
HIKARI-2021,traffic_category,ignored,excluded
HIKARI-2021,Label,ignored,excluded
