dataset,feature,category,reason
UNSW-NB15,id,ignored,excluded
UNSW-NB15,dur,time,heuristic
UNSW-NB15,proto,flow,heuristic
UNSW-NB15,service,flow,heuristic
UNSW-NB15,state,conn/flags,heuristic
UNSW-NB15,spkts,flow,heuristic
UNSW-NB15,dpkts,flow,heuristic
UNSW-NB15,sbytes,flow,heuristic
UNSW-NB15,dbytes,flow,heuristic
UNSW-NB15,rate,statistical,heuristic
UNSW-NB15,sttl,flow,heuristic
UNSW-NB15,dttl,flow,heuristic
UNSW-NB15,sload,flow,heuristic
UNSW-NB15,dload,flow,heuristic
UNSW-NB15,sloss,flow,heuristic
UNSW-NB15,dloss,flow,heuristic
UNSW-NB15,sinpkt,flow,heuristic
UNSW-NB15,dinpkt,flow,heuristic
UNSW-NB15,sjit,flow,heuristic
UNSW-NB15,djit,flow,heuristic
UNSW-NB15,swin,flow,heuristic
UNSW-NB15,stcpb,flow,heuristic
UNSW-NB15,dtcpb,flow,heuristic
UNSW-NB15,dwin,flow,heuristic
UNSW-NB15,tcprtt,flow,heuristic
UNSW-NB15,synack,flow,heuristic
UNSW-NB15,ackdat,flow,heuristic
UNSW-NB15,smean,statistical,heuristic
UNSW-NB15,dmean,statistical,heuristic
UNSW-NB15,trans_depth,flow,heuristic
UNSW-NB15,response_body_len,flow,heuristic
UNSW-NB15,ct_srv_src,flow,heuristic
UNSW-NB15,ct_state_ttl,flow,heuristic
UNSW-NB15,ct_dst_ltm,flow,heuristic
UNSW-NB15,ct_src_dport_ltm,flow,heuristic
UNSW-NB15,ct_dst_sport_ltm,flow,heuristic
UNSW-NB15,ct_dst_src_ltm,flow,heuristic
UNSW-NB15,is_ftp_login,content,heuristic
UNSW-NB15,ct_ftp_cmd,flow,heuristic
UNSW-NB15,ct_flw_http_mthd,telemetry,override
UNSW-NB15,ct_src_ltm,flow,heuristic
UNSW-NB15,ct_srv_dst,flow,heuristic
UNSW-NB15,is_sm_ips_ports,conn/flags,heuristic
UNSW-NB15,attack_cat,ignored,excluded
UNSW-NB15,label,ignored,excluded
