dataset,profile,layer,U_size,alpha,tau,H_diversity,Rep,PDR
NSL-KDD,general_enterprise_nids,transport,3,0.3,0.005,0.5376334250595587,0.9185503147830185,0.8042752478659805
UNSW-NB15,general_enterprise_nids,transport,7,0.3,0.005,0.6282349248750027,0.5693347527435673,0.5870048043829978
CIC-IDS2017,general_enterprise_nids,app,6,0.3,0.005,0.7949356946579356,0.5179105696791347,0.6010181071727749
CSE-CIC-IDS2018,general_enterprise_nids,transport,3,0.3,0.005,0.5857156619122783,0.8178465907820344,0.7482073121211075
ToN_IoT,iot_gateway,transport,3,0.3,0.005,0.46329285538343645,0.9950010187497335,0.8354885697398444
Bot_IoT,iot_edge,transport,3,0.3,0.005,0.6416139552695448,0.994081156344908,0.888340996022299
HIKARI-2021,encrypted_flow_only,app,6,0.3,0.005,0.7702036161102233,0.5018622109576092,0.5823646325033933
NSL-KDD,general_enterprise_nids,transport,3,0.5,0.005,0.5376334250595587,0.9185503147830185,0.7280918699212886
UNSW-NB15,general_enterprise_nids,transport,7,0.5,0.005,0.6282349248750027,0.5693347527435673,0.5987848388092849
CIC-IDS2017,general_enterprise_nids,app,6,0.5,0.005,0.7949356946579356,0.5179105696791347,0.6564231321685352
CSE-CIC-IDS2018,general_enterprise_nids,transport,3,0.5,0.005,0.5857156619122783,0.8178465907820344,0.7017811263471563
ToN_IoT,iot_gateway,transport,3,0.5,0.005,0.46329285538343645,0.9950010187497335,0.729146937066585
Bot_IoT,iot_edge,transport,3,0.5,0.005,0.6416139552695448,0.994081156344908,0.8178475558072265
HIKARI-2021,encrypted_flow_only,app,6,0.5,0.005,0.7702036161102233,0.5018622109576092,0.6360329135339162
NSL-KDD,general_enterprise_nids,transport,3,0.7,0.005,0.5376334250595587,0.9185503147830185,0.6519084919765967
UNSW-NB15,general_enterprise_nids,transport,7,0.7,0.005,0.6282349248750027,0.5693347527435673,0.610564873235572
CIC-IDS2017,general_enterprise_nids,app,6,0.7,0.005,0.7949356946579356,0.5179105696791347,0.7118281571642954
CSE-CIC-IDS2018,general_enterprise_nids,transport,3,0.7,0.005,0.5857156619122783,0.8178465907820344,0.6553549405732052
ToN_IoT,iot_gateway,transport,3,0.7,0.005,0.46329285538343645,0.9950010187497335,0.6228053043933256
Bot_IoT,iot_edge,transport,3,0.7,0.005,0.6416139552695448,0.994081156344908,0.7473541155921537
HIKARI-2021,encrypted_flow_only,app,6,0.7,0.005,0.7702036161102233,0.5018622109576092,0.6897011945644391
